,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2211,8,1861,897,0,505,0.11,2014,0,42
2212,1,1901,1901,0,420,0.12,2020,460150,-1
2213,68,1330,0,0,360,0.03,2016,340000,-1
2214,1,1402,0,0,506,0.3,1959,370000,-1
2215,1,1547,809,410,528,0.26,1960,467500,-1
2216,7,1638,350,0,480,0.18,1979,450000,-1
2217,1,1146,1120,1120,440,0.18,1979,460500,-1
2218,5,1928,1064,0,472,0.4,1978,615000,-1
2219,20,963,0,0,0,0.0,1970,375000,-1
2220,1,2627,2627,2351,1178,0.31,1988,1375000,-1
2221,68,2055,812,756,584,0.07,2002,460000,22
2222,8,3487,2025,0,640,0.23,2003,762500,-1
2223,8,1909,969,969,506,0.17,1997,530000,41
2224,1,1847,1847,1607,621,0.2,1998,653295,-1
2225,1,2382,1658,1658,750,0.34,1993,715000,-1
2226,8,2831,1950,1394,724,0.45,1992,775000,-1
2227,4,2336,0,0,440,0.14,1986,435000,-1
2228,68,1056,0,0,0,0.02,1984,260000,14
2229,7,1368,0,0,418,0.16,1984,386000,-1
2230,68,1260,0,0,300,0.04,1972,289900,-1
2231,14,1216,0,0,0,0.0,2000,68000,-1
2232,1,1582,1582,0,461,0.22,1961,513500,-1
2233,5,2282,0,0,624,0.14,1946,617000,-1
2234,19,1241,0,0,0,0.0,2011,290000,46
2235,19,941,0,0,0,0.0,2011,269000,46
2236,14,924,0,0,0,0.0,1971,4500,-1
2237,1,1519,0,0,456,0.21,1960,415000,-1
2238,1,1092,1092,883,494,0.21,1977,515000,-1
2239,4,1632,0,0,288,0.2,1975,450500,-1
2240,51,2032,0,0,576,0.24,1967,399368,-1
2241,51,1994,0,0,288,0.25,1955,493000,-1
2242,7,1344,0,0,288,0.15,1979,313000,-1
2243,19,576,0,0,0,0.0,1974,160000,-1
2244,61,1467,984,840,399,0.0,1986,481000,-1
2245,68,1756,0,0,440,0.0,1986,338000,-1
2246,1,2236,1852,1852,668,0.28,2000,655000,-1
2247,71,3417,0,0,704,0.39,1996,620000,-1
2248,1,1443,1407,1107,700,0.13,2002,546000,42
2249,8,1400,0,0,200,0.09,2002,340000,-1
2250,7,1800,702,0,395,0.15,2001,413000,41
2251,68,2040,1000,0,440,0.06,2000,460850,21
2252,68,1456,749,641,462,0.07,2002,409900,33
2253,68,1402,744,0,420,0.05,2000,385000,21
2254,7,1767,383,0,570,0.11,2014,425000,31
2255,7,1463,565,565,596,0.14,2006,400000,31
2256,68,2010,774,774,594,0.08,2015,530000,21
2257,68,1338,0,0,252,0.04,2006,390000,35
2258,8,3093,1280,0,687,0.18,2017,645000,-1
2259,19,1042,0,0,330,0.0,2017,340000,17
2260,19,940,0,0,0,0.0,2005,264200,46
2261,8,3314,1733,0,724,0.17,2015,720000,-1
2262,8,2226,1096,0,380,0.11,2003,435200,28
2263,8,1976,1182,0,628,0.16,2000,550000,42
2264,1,1128,0,0,418,0.1,2001,330000,-1
2265,8,2134,1398,0,400,0.18,1993,533100,-1
2266,20,856,0,0,0,0.0,1965,300000,-1
2267,1,1416,744,744,608,0.26,1994,335000,-1
2268,68,1248,0,0,0,0.0,1971,280000,-1
2269,5,1472,978,0,0,0.21,1911,595000,-1
2270,14,1120,0,0,0,0.0,1987,5000,-1
2271,67,1928,0,0,528,0.09,1979,435000,-1
2272,1,912,864,864,440,0.15,1978,430000,26
2273,8,2461,1319,1319,866,0.26,1991,608400,-1
2274,1,1370,0,0,528,0.09,1981,420500,-1
2275,61,1395,1395,1395,440,0.09,1998,385000,-1
2276,68,1756,0,0,440,0.0,1989,318000,-1
2277,8,5135,2878,2093,884,1.0,2003,2050000,-1
